"ICD-10-4","Geschlecht","Insgesamt","unter 1 Jahr","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95 und älter","unbekannt","year"
"T510","m","984","1","13","4","140","312","73","34","48","55","83","71","56","27","30","20","10","3","1","1","2","0","0","2003"
"T510","w","558","0","3","2","108","233","34","16","17","35","30","20","22","13","8","5","3","7","0","2","0","0","0","2003"
"T519","m","2154","0","9","2","190","477","173","95","136","183","236","206","161","77","84","67","26","21","9","2","0","0","0","2003"
"T519","w","1191","0","7","0","164","312","100","55","66","98","98","87","71","37","40","24","13","8","8","2","1","0","0","2003"
"F100","m","57572","1","6","9","1558","8620","4608","3264","3898","6214","7909","6925","5262","2872","2729","2062","917","477","176","47","12","4","2","2004"
"F100","w","23639","0","4","3","1481","4763","2043","1125","1214","2118","2701","2456","1935","1167","1060","735","354","243","168","51","18","0","0","2004"
"F100","u","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2004"
"F101","m","3743","0","1","0","34","374","333","269","284","401","532","453","368","211","184","160","72","40","18","8","1","0","0","2004"
"F101","w","1747","0","0","0","32","190","90","101","110","194","253","219","169","113","96","90","39","24","19","7","0","1","0","2004"
"F102","m","99752","2","1","1","10","447","1886","3653","7496","15375","21502","19369","13940","7282","4866","2643","825","344","94","14","1","0","1","2004"
"F102","w","32191","0","0","0","5","135","390","914","1918","4541","6545","6113","4770","2766","2132","1238","438","196","71","14","5","0","0","2004"
"F103","m","36901","0","0","0","1","109","517","1222","2680","5535","8202","7443","5134","2596","1782","1140","362","125","46","6","1","0","0","2004"
"F103","w","9759","0","0","0","2","25","118","230","532","1293","2041","1851","1415","854","688","448","158","69","29","5","0","1","0","2004"
"F104","m","13125","0","0","0","0","14","70","233","720","1637","2467","2584","1939","1170","1065","723","331","127","40","4","0","1","0","2004"
"F104","w","3160","0","0","0","0","5","17","37","111","327","517","556","475","331","345","241","104","59","26","4","5","0","0","2004"
"F105","m","1698","0","0","0","2","25","49","59","115","220","363","289","242","105","93","83","31","16","6","0","0","0","0","2004"
"F105","w","544","0","0","0","2","17","18","15","20","61","87","74","80","49","50","37","16","11","6","1","0","0","0","2004"
"F106","m","2853","0","0","0","1","9","4","4","23","88","199","378","423","358","508","469","236","108","38","7","0","0","0","2004"
"F106","w","1003","0","0","0","0","4","1","1","3","22","56","94","145","133","175","180","103","55","24","7","0","0","0","2004"
"F107","m","1819","0","0","0","0","8","11","16","29","99","228","290","258","205","265","232","92","54","29","3","0","0","0","2004"
"F107","w","510","0","0","0","0","3","2","3","11","17","39","79","69","52","80","68","37","30","19","1","0","0","0","2004"
"F108","m","443","0","0","0","1","24","28","29","23","42","66","52","50","40","29","34","16","6","2","1","0","0","0","2004"
"F108","w","153","0","0","0","1","5","6","6","9","25","25","21","17","10","11","7","3","4","3","0","0","0","0","2004"
"F109","m","151","0","0","0","1","14","11","4","5","17","18","24","14","15","7","12","5","2","1","1","0","0","0","2004"
"F109","w","100","0","0","0","3","5","13","4","5","7","14","11","9","14","3","6","2","1","2","0","1","0","0","2004"
"T510","m","1153","0","6","1","131","353","96","50","60","78","141","82","54","25","36","23","8","3","5","0","1","0","0","2004"
"T510","w","562","0","6","0","123","206","40","14","21","20","44","21","17","13","14","9","7","4","0","1","2","0","0","2004"
"T519","m","1281","0","7","2","117","372","119","51","66","126","101","92","77","45","44","30","17","7","7","0","1","0","0","2004"
"T519","w","702","0","3","0","102","220","56","17","28","50","66","62","30","22","12","15","10","5","4","0","0","0","0","2004"
"F100","m","62895","3","7","11","1811","10268","5043","3558","3886","6169","8438","7590","5652","3481","2682","2310","1095","575","237","58","20","1","0","2005"
"F100","w","26041","0","6","4","1655","5714","2348","1282","1252","2045","2853","2683","1997","1280","1088","888","439","282","161","49","14","1","0","2005"
"F100","u","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2005"
"F101","m","3246","0","0","0","26","255","306","223","240","362","456","407","326","225","150","133","79","29","23","4","2","0","0","2005"
"F101","w","1575","0","0","0","24","141","97","86","98","194","232","214","140","113","80","81","34","20","16","3","2","0","0","2005"
"F102","m","100599","0","0","0","4","489","1879","3956","7129","14410","20946","20204","14420","7998","4813","2893","1008","361","72","12","4","1","0","2005"
"F102","w","33056","0","0","1","11","141","463","937","1794","4235","6730","6375","4902","2986","2200","1421","556","203","77","19","5","0","0","2005"
"F102","u","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2005"
"F103","m","37212","1","0","0","0","109","553","1258","2379","5317","7947","7459","5634","2879","1823","1266","397","146","38","4","2","0","0","2005"
"F103","w","10155","1","0","0","0","23","133","234","484","1290","2101","2006","1423","960","723","497","192","66","15","5","2","0","0","2005"
"F104","m","11756","1","1","0","0","22","89","250","528","1366","2212","2301","1787","1186","851","669","310","132","44","5","0","1","1","2005"
"F104","w","2800","0","0","0","0","3","15","28","67","267","438","538","422","278","325","229","95","65","24","4","2","0","0","2005"
"F105","m","1457","0","0","0","2","22","44","55","81","190","252","291","203","107","99","55","40","10","4","2","0","0","0","2005"
"F105","w","458","0","0","0","3","9","12","15","17","42","65","83","72","44","36","32","18","8","0","1","1","0","0","2005"
"F106","m","3137","0","0","0","0","3","5","6","13","76","197","399","431","510","571","504","253","134","29","6","0","0","0","2005"
"F106","w","1195","0","0","0","1","0","2","1","5","24","92","134","162","162","201","208","103","76","19","5","0","0","0","2005"
"F107","m","1604","0","0","0","0","2","5","10","22","92","181","233","254","203","211","196","128","49","14","4","0","0","0","2005"
"F107","w","458","0","0","0","1","2","3","3","6","23","50","68","47","50","70","51","42","24","15","3","0","0","0","2005"
"F108","m","449","0","0","0","0","24","29","18","21","46","69","56","53","36","35","38","12","8","3","1","0","0","0","2005"
"F108","w","145","0","0","0","0","12","4","11","7","16","19","18","25","7","8","5","4","4","5","0","0","0","0","2005"
"F109","m","978","0","0","0","1","11","14","30","59","147","205","202","138","83","38","34","12","3","1","0","0","0","0","2005"
"F109","w","209","0","0","0","1","3","7","3","15","18","43","49","30","16","13","6","2","1","0","2","0","0","0","2005"
"T510","m","963","1","7","1","91","310","69","54","43","48","79","78","80","36","25","23","10","6","1","1","0","0","0","2005"
"T510","w","491","1","6","0","87","200","34","14","24","22","25","21","17","12","8","9","5","2","4","0","0","0","0","2005"
"T519","m","1063","0","5","1","96","340","80","45","58","66","99","90","62","43","22","30","17","3","5","0","1","0","0","2005"
"T519","w","664","0","1","2","116","209","57","30","25","24","42","48","33","25","20","14","6","6","6","0","0","0","0","2005"
"F100","m","62139","2","6","4","1682","10519","5367","3727","3623","5518","7788","7664","5909","3749","2391","2229","1136","544","210","55","14","2","0","2006"
"F100","w","25394","0","4","2","1616","5605","2417","1257","1221","1920","2684","2594","1941","1361","953","874","445","265","154","59","20","2","0","2006"
"F100","u","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2006"
"F101","m","3392","0","0","1","17","317","341","256","246","333","463","445","328","213","138","145","85","43","19","1","0","1","0","2006"
"F101","w","1625","0","0","0","40","184","127","90","97","156","217","218","145","123","67","70","45","20","17","7","1","0","1","2006"
"F102","m","101700","0","0","0","9","547","2089","4080","6600","13774","20552","21108","15214","8614","4516","2942","1146","410","81","15","2","1","0","2006"
"F102","w","34231","1","0","0","10","136","548","920","1730","4081","6914","7080","5099","3280","2077","1477","588","199","73","16","2","0","0","2006"
"F103","m","37868","0","0","1","0","110","575","1334","2328","4994","7765","8006","5734","3249","1778","1278","488","186","36","5","1","0","0","2006"
"F103","w","10246","1","0","0","1","28","132","286","475","1170","1982","2089","1584","997","691","491","226","59","23","10","1","0","0","2006"
"F103","u","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2006"
"F104","m","10929","0","0","0","0","14","80","219","446","1234","1952","2202","1767","1129","779","625","310","115","47","9","0","1","0","2006"
"F104","w","2736","0","0","0","2","3","12","37","109","218","416","465","451","328","247","231","121","61","25","6","2","2","0","2006"
"F105","m","1420","0","0","0","0","30","41","62","88","154","292","251","177","106","67","90","37","21","3","1","0","0","0","2006"
"F105","w","455","0","0","0","2","15","14","9","25","34","62","85","74","44","25","30","17","11","6","1","1","0","0","2006"
"F106","m","2918","0","0","0","0","2","2","5","11","59","175","351","463","446","473","472","302","104","40","12","1","0","0","2006"
"F106","w","1083","0","0","0","0","0","0","0","5","17","75","146","154","158","153","171","110","62","25","6","0","1","0","2006"
"F107","m","1572","0","0","0","0","1","7","11","28","88","186","263","227","220","159","197","126","49","8","1","1","0","0","2006"
"F107","w","445","0","0","0","0","2","4","5","5","21","46","47","55","68","57","62","42","15","10","6","0","0","0","2006"
"F108","m","473","0","0","0","2","20","27","25","29","58","72","50","50","41","39","28","18","10","4","0","0","0","0","2006"
"F108","w","143","0","0","0","2","8","14","3","4","20","13","23","11","14","7","10","8","3","3","0","0","0","0","2006"
"F109","m","119","0","0","0","2","3","6","4","6","13","11","20","15","7","10","9","7","5","1","0","0","0","0","2006"
"F109","w","64","0","0","0","4","6","4","5","3","5","10","7","1","2","6","5","1","2","1","2","0","0","0","2006"
"T510","m","1047","0","3","0","92","356","89","47","43","54","78","93","64","50","28","26","12","8","4","0","0","0","0","2006"
"T510","w","544","0","5","1","81","204","51","20","12","20","35","31","27","22","9","10","8","4","3","0","0","1","0","2006"
"T519","m","4788","2","1","5","286","1203","450","280","244","371","497","401","314","239","164","164","92","50","15","7","2","1","0","2006"
"T519","w","3205","1","3","0","316","804","341","189","145","227","312","255","195","113","94","95","47","33","17","11","4","3","0","2006"
"F100","m","69171","1","4","4","1837","12519","6171","4354","3883","5798","8078","8408","6538","4314","2533","2428","1396","592","218","78","11","6","0","2007"
"F100","w","29390","0","0","1","1942","6866","2847","1594","1300","1918","2891","3080","2344","1535","1012","957","546","307","165","65","16","4","0","2007"
"F100","u","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2007"
"F101","m","3852","0","0","0","37","427","366","286","273","349","524","499","383","228","165","168","87","33","22","4","1","0","0","2007"
"F101","w","1884","0","0","0","58","219","148","129","110","159","256","236","174","128","75","77","52","24","25","12","2","0","0","2007"
"F102","m","104746","1","0","1","6","636","2312","4227","6747","13124","20514","21710","16281","9811","4617","3030","1244","369","100","14","2","0","0","2007"
"F102","w","35868","0","0","1","10","200","551","1070","1739","3756","6860","7696","5738","3617","2093","1519","717","224","57","16","4","0","0","2007"
"F103","m","38677","0","0","0","0","121","684","1386","2220","4653","7714","8290","6261","3547","1740","1306","531","172","45","6","1","0","0","2007"
"F103","w","10996","0","0","0","0","34","138","320","550","1175","2056","2318","1689","1087","684","561","253","101","22","7","1","0","0","2007"
"F104","m","10328","0","0","0","0","12","64","208","455","1010","1746","2114","1713","1167","683","657","312","131","47","7","2","0","0","2007"
"F104","w","2524","0","0","0","2","4","12","43","93","174","395","456","396","308","229","216","102","59","26","8","1","0","0","2007"
"F105","m","1491","0","0","0","3","59","59","74","72","162","264","252","207","108","74","89","42","20","5","0","1","0","0","2007"
"F105","w","490","0","0","0","6","18","23","21","18","45","68","86","62","48","29","29","20","9","6","2","0","0","0","2007"
"F106","m","2727","0","0","0","1","3","0","1","13","42","152","322","409","435","403","465","296","134","38","12","1","0","0","2007"
"F106","w","973","0","0","0","0","4","0","5","3","21","47","122","112","152","146","153","108","61","32","5","2","0","0","2007"
"F107","m","1548","0","0","0","0","1","10","8","14","77","164","223","264","246","157","178","118","60","23","4","1","0","0","2007"
"F107","w","462","0","0","0","0","1","3","0","4","17","32","54","74","78","51","57","46","31","11","2","0","1","0","2007"
"F108","m","487","0","0","0","2","29","33","25","35","34","87","65","47","32","29","31","21","13","3","1","0","0","0","2007"
"F108","w","154","0","0","0","2","10","12","7","9","14","15","19","18","15","9","11","8","4","0","1","0","0","0","2007"
"F109","m","251","0","0","0","2","12","12","7","11","34","43","46","26","23","11","9","6","6","3","0","0","0","0","2007"
"F109","w","99","0","0","0","1","10","2","5","3","8","18","11","13","8","8","5","4","1","0","2","0","0","0","2007"
"T510","m","1840","1","5","4","143","667","213","120","83","97","95","104","102","70","48","46","26","11","3","0","2","0","0","2007"
"T510","w","951","0","5","0","135","332","99","52","37","34","55","58","36","27","22","33","10","11","3","2","0","0","0","2007"
"T519","m","1466","1","1","0","115","468","144","96","74","95","129","97","71","66","31","42","21","6","6","2","0","1","0","2007"
"T519","w","935","0","2","0","128","322","93","32","34","49","64","75","44","33","19","14","10","6","9","1","0","0","0","2007"
"F100","m","76654","2","6","6","2136","13661","7023","4879","4444","5874","8638","9311","7675","5084","2845","2475","1598","651","252","77","11","6","0","2008"
"F100","w","32629","3","3","1","2376","7536","3331","1743","1459","2028","3113","3306","2604","1734","1059","1058","634","326","180","111","19","5","0","2008"
"F101","m","3756","0","0","0","39","439","396","269","272","315","439","468","367","245","164","158","111","43","20","7","3","1","0","2008"
"F101","w","1802","0","0","0","48","195","159","117","106","154","227","237","161","121","83","91","45","32","12","11","1","2","0","2008"
"F102","m","107906","0","0","0","13","721","2571","4687","6915","12485","20154","22841","17269","10627","4794","2950","1382","349","129","17","1","1","0","2008"
"F102","w","36287","1","0","0","12","207","626","1275","1944","3678","6813","7753","5769","3735","2020","1437","689","224","77","19","5","3","0","2008"
"F103","m","41506","0","0","0","0","137","744","1529","2453","4555","7861","8891","6801","4245","1991","1319","699","202","63","15","1","0","0","2008"
"F103","w","12411","0","0","0","1","45","178","383","618","1162","2274","2659","1811","1338","804","625","315","116","57","18","3","4","0","2008"
"F104","m","9906","0","0","0","0","8","79","204","434","871","1682","1999","1633","1136","674","620","367","132","50","11","6","0","0","2008"
"F104","w","2411","0","0","0","0","7","18","40","75","150","339","450","387","284","210","237","115","58","27","11","3","0","0","2008"
"F105","m","1360","1","0","0","4","49","64","59","71","116","224","258","199","110","66","70","43","19","4","2","1","0","0","2008"
"F105","w","473","0","0","0","3","19","15","11","33","45","74","70","60","57","27","27","16","9","2","5","0","0","0","2008"
