

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=703:21305838D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Fälle je 100000 Einwohner). Gliederungsmerkmale: Jahre, Wohnsitz, Alter, Geschlecht, Verweildauer, Art der Standardisierung                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Verweildauer:;alle Fälle
ICD10:;F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation
Sachverhalt:;Fälle
Art der Standardisierung:;Standardbevölkerung &quot;Deutschland 2011&quot;
""
;;;"";;;;;;;;;;;;;;;;;;;
;;;" Baden-Württemberg";" Bayern";" Berlin";" Brandenburg";" Bremen";" Hamburg";" Hessen";" Mecklenburg-Vorpommern";" Niedersachsen";" Nordrhein-Westfalen";" Rheinland-Pfalz";" Saarland";" Sachsen";" Sachsen-Anhalt";" Schleswig-Holstein";" Thüringen";" Früheres Bundesgebiet und Berlin-Ost";" Neue Länder ohne Berlin-Ost";" Ausland oder unbekannt";
;;"                40 bis unter 45 Jahre";"321";"473";"61";"45";"10";"35";"168";"47";"292";"523";"162";"54";"98";"96";"123";"54";"2.222";"340";"42";
;;"             45 bis unter 50 Jahre";"428";"628";"76";"100";"20";"35";"184";"82";"428";"793";"211";"64";"175";"123";"143";"103";"3.010";"583";"26";
;;"             50 bis unter 55 Jahre";"329";"608";"60";"87";"16";"38";"225";"78";"330";"715";"193";"65";"159";"94";"79";"97";"2.658";"515";"27";
;;"             55 bis unter 60 Jahre";"237";"405";"51";"50";"11";"14";"113";"54";"227";"450";"140";"59";"115";"61";"76";"59";"1.783";"339";"22";
;;"             60 bis unter 65 Jahre";"176";"269";"33";"32";"5";"15";"90";"32";"150";"320";"71";"22";"80";"46";"47";"46";"1.198";"236";"10";
;;"          65 bis unter 70 Jahre";"118";"181";"19";"6";"4";"14";"50";"10";"105";"172";"44";"20";"52";"22";"41";"23";"768";"113";"5";
;;"          70 bis unter 75 Jahre";"129";"179";"13";"21";"3";"17";"55";"5";"87";"209";"40";"16";"52";"30";"29";"18";"777";"126";"";
;;"             75 bis unter 80 Jahre";"83";"131";"13";"11";"1";"7";"30";"6";"52";"130";"40";"12";"17";"16";"24";"12";"523";"62";"2";
;;"             80 bis unter 85 Jahre";"27";"47";"7";"1";"1";"3";"13";"1";"16";"60";"3";"3";"9";"4";"16";"3";"196";"18";"";
;;"             85 bis unter 90 Jahre";"13";"22";"";"1";"1";"2";"9";"";"10";"12";"4";"2";"3";"1";"5";"1";"80";"6";"1";
;;"                90 bis unter 95 Jahre";"5";"7";"2";"";"1";"";"";"";"6";"5";"2";"";"1";"";"1";"";"29";"1";"";
;;"                   95 bis unter 100 Jahre";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"";"";"2";"";"";
;;"                   100 Jahre und älter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;"    Unbekannt";"             Unter 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             1 Jahr bis unter 5 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             5 bis unter 10 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             10 bis unter 15 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             15 bis unter 20 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             20 bis unter 25 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                25 bis unter 30 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                30 bis unter 35 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                35 bis unter 40 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                40 bis unter 45 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             45 bis unter 50 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             50 bis unter 55 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             55 bis unter 60 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             60 bis unter 65 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"          65 bis unter 70 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"          70 bis unter 75 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             75 bis unter 80 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             80 bis unter 85 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             85 bis unter 90 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                90 bis unter 95 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                   95 bis unter 100 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
