GENESIS-Tabelle: Temporär
Allgemeinbildende Schulen: Absolventen/Abgänger;;;;;;;;;;;;;;
nach dem Schulabschluss - Schuljahr -;;;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;;;
Statistik der allgemein bildenden Schulen;;;;;;;;;;;;;;
Absolventen/Abgänger (Anzahl);;;;;;;;;;;;;;
;;;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss
;;;Insgesamt;Insgesamt;ohne Hauptschulabschluss;ohne Hauptschulabschluss;Hauptschulabschluss;Hauptschulabschluss;Realschulabschluss;Realschulabschluss;Fachhochschulreife;Fachhochschulreife;Allgemeine Hochschulreife;Allgemeine Hochschulreife
;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich
2004;11;Berlin;38193;18825;4019;1596;7925;3240;13972;7032;0;0;12277;6957
2004;12;Brandenburg;36915;18430;3268;1044;6744;2584;15964;8268;35;15;10904;6519
2004;13;Mecklenburg-Vorpommern;24848;12307;2453;804;4438;1778;12045;6137;235;108;5677;3480
2004;14;Freistaat Sachsen;54988;26939;5152;1742;6996;2641;28911;14474;0;0;13929;8082
2004;15;Sachsen-Anhalt;34894;17140;4864;1551;3994;1665;17147;8690;429;212;8460;5022
2004;16;Thüringen;31504;15614;2787;906;5882;2249;14005;7326;0;0;8830;5133
2003;01;Schleswig-Holstein;29213;14409;2908;1072;10409;4736;9475;5107;397;199;6024;3295
2003;02;Hamburg;15166;7323;1747;653;3747;1594;4548;2258;268;148;4856;2670
2003;03;Niedersachsen;92382;44426;9776;3653;22505;9314;39813;19892;1850;1059;18438;10508
2003;04;Bremen;7272;3687;665;292;1561;744;2853;1417;0;0;2193;1234
2003;05;Nordrhein-Westfalen;200810;99025;13758;5127;46382;19604;82638;42006;6480;3482;51552;28806
2003;06;Hessen;60515;29731;5760;2108;15009;6406;22913;11738;752;373;16081;9106
2003;07;Rheinland-Pfalz;45673;23084;4143;1632;14168;6246;16590;8988;562;301;10210;5917
2003;08;Baden-Württemberg;120433;58370;8739;3386;39809;17663;45494;23131;269;126;26122;14064
2003;09;Bayern;134789;65792;11853;4198;46608;20230;50522;27267;33;17;25773;14080
2003;10;Saarland;11139;5448;1040;385;3561;1496;3927;2107;93;45;2518;1415
2003;11;Berlin;37797;18665;4303;1694;7912;3297;13730;6874;0;0;11852;6800
2003;12;Brandenburg;36052;18110;3024;984;7072;2779;15846;8367;0;0;10110;5980
2003;13;Mecklenburg-Vorpommern;25670;12720;2669;846;4699;1939;12501;6509;259;157;5542;3269
2003;14;Freistaat Sachsen;56481;27841;5599;1901;7097;2797;30169;15141;0;0;13616;8002
